Id_Curso;Disponibilidad;Fecha Creacion;Fecha Publicacion;Duracion;Origen;Idioma;Contenido;Tipo Curso;Costo;Encargado;Id Categoria ;Experto ;Titulo;Descripcion;Proveedor;Proposito formacion;Area de conocimiento ;Tipo contenido 
CLS_SA_007_0035;Y;;;;;;;VIRTUAL;;;SA_007;;Eficiencia Energética;;;;;
CLS_SA_002_0043;Y;;;;;;;VIRTUAL;;;SA_002;;El Poder de tu decisión Celsia;;;;;
CLS_SA_001_0024;Y;;;;;;;VIRTUAL;;;SA_001;;Presentaciones efectivas ;;;;;
CLS_SA_002_0033;Y;;;;;;;VIRTUAL;;;SA_002;;Manejo de Crisis;;;;;
CLS_SA_002_0034;Y;;;;;;;VIRTUAL;;;SA_002;;Experiencia de Servicio en Celsia;;;;;
CLS_SA_007_0208;Y;;;;;;;VIRTUAL;;;SA_007;;SIGA;;;;;
CLS_SA_001_0023;Y;;;;;;;VIRTUAL;;;SA_001;;Nuestra cultura - Celsia;;;;;
CLS_SA_007_0223;Y;;;;;;;VIRTUAL;;;SA_007;;Fans del Servicio;;;;;
CLS_SA_002_0032;Y;;;;;;;VIRTUAL;;;SA_002;;Comprometidos Celsia;;;;;
CLS_SA_007_0025;Y;;;;;;;VIRTUAL;;;SA_007;;Energía Solar Fotovoltaica;;;;;
CLS_SA_002_0049;Y;;;;;;;PRES;;;SA_002;;Seguridad de la información , Protección de Datos Personales - Ciberseguridad - Externo;;;;;
CLS_SA_005_0027;Y;;;;;;;VIRTUAL;;;SA_005;;Ciberseguridad;;;;;
SUM_SA_005_0035;Y;;;;;;;VIRTUAL;;;SA_005;;Entrenamiento SSFF - Reclutamiento rol empleados;;;;;
CEM_SA_003_0390;Y;;;;;;;VIRTUAL;;;SA_016;;Introducción a los Derechos Humanos;;;;;
CEM_SA_003_0391;Y;;;;;;;VIRTUAL;;;SA_003;;Cumplimiento de los Derechos Humanos;;;;;
CEM_SA_003_0392;Y;;;;;;;VIRTUAL;;;SA_016;;¿Cómo gestionamos la Política de Derechos Humanos en Grupo Argos y sus filiales?;;;;;
CLS_SA_003_0007;Y;;;;;;;VIRTUAL;;;SA_003;;Conectados con la buena energía ante el COVID-19  Módulo 1;;;;;
CLS_SA_007_0120;Y;;;;;;;VIRTUAL;;;SA_007;;Nuestro Retorno Consciente;;;;;
CLS_SA_003_0008;Y;;;;;;;VIRTUAL;;;SA_003;;Conectados con la buena energía ante el COVID-19  Módulo 2;;;;;
CLS_SA_003_0009;Y;;;;;;;VIRTUAL;;;SA_003;;Sistema de Gestión Yo Elijo Cuidarme;;;;;
CEM_SA_003_0393;Y;;;;;;;VIRTUAL;;;SA_016;;Valida tus aprendizajes en Derechos humanos;;;;;
CLS_SA_003_0001;Y;;;;;;;VIRTUAL;;;SA_003;;Sistema de Gestión Organizacional (SGO);;;;;
CLS_SA_002_0014;Y;;;;;;;VIRTUAL;;;SA_002;;Herramientas de innovación para la solución de problemas. Creative Problem Solving (CPS);;;;;
CLS_SA_007_0028;Y;;;;;;;VIRTUAL;;;SA_007;;Curso Coordinación de Fusibles;;;;;
CEM_SA_005_0012;Y;;;;;;;VIRTUAL;;;SA_005;;Generación de reportes módulo de aprendizaje SuccessFactors - Jefes;;;;;
CEM_SA_005_0009;Y;;;;;;;VIRTUAL;;;SA_005;;Excel Avanzado – Parte 1;;;;;
CLS_SA_003_0016;Y;;;;;;;VIRTUAL;;;SA_003;;Programa Mindfulness de Cultura Celsia;;;;;
CLS_SA_007_0097;Y;;;;;;;VIRTUAL;;;SA_007;;Programa de Cumplimiento para Tolima - Externo;;;;;
CLS_SA_007_0190;Y;;;;;;;VIRTUAL;;;SA_007;;Formación en DIgSILENT - Externo;;;;;
CLS_SA_003_0026;Y;;;;;;;VIRTUAL;;;SA_003;;Formaciones Recurrentes Sociambiental T&D;;;;;
CLS_SA_007_0094;Y;;;;;;;VIRTUAL;;;SA_007;;AMP - Externo;;;;;
CLS_SA_003_0008;Y;;;;;;;PRES;;;SA_003;;Riesgo Eléctrico;;;;;
CLS_SA_001_0027;Y;;;;;;;VIRTUAL;;;SA_001;;Conversaciones de Buena Energía – Etapa 2;;;;;
CLS_SA_007_0080;Y;;;;;;;VIRTUAL;;;SA_007;;Socialización de la gestión de proyectos en el equipo de TyD - Externo;;;;;
CEM_SA_008_0438;Y;;;;;;;PRES;;;SA_008;;Curso PLC Fundamental ControlLogix y Soluciones de Averias Usando Software Studio 5000;;;;;
CLS_SA_003_0067;Y;;;;;;;VIRTUAL;;;SA_003;;Somos complemento;;;;;
CLS_SA_003_0062;Y;;;;;;;VIRTUAL;;;SA_003;;Movilidad Segura;;;;;
CLS_SA_007_0282;Y;;;;;;;VIRTUAL;;;SA_007;;Quasi Dynamic Simulation - Externo;;;;;
CLS_SA_007_0267;Y;;;;;;;VIRTUAL;;;SA_007;;Somos complemento - módulo 2;;;;;
CLS_SA_001_0087;Y;;;;;;;VIRTUAL;;;SA_001;;¿Cómo diligenciar mi plan de autodesarrollo en Success Factors?;;;;;
CLS_SA_002_0067;Y;;;;;;;VIRTUAL;;;SA_002;;Soy ágil;;;;;
CLS_SA_003_0071;Y;;;;;;;VIRTUAL;;;SA_003;;En los zapatos de Leo;;;;;
GRA_SA_002_0067;Y;;;;;;;VIRTUAL;;;SA_002;;El Poder de tu Decisión - Tercera Temporada;;;;;
CLS_SA_002_0070;Y;;;;;;;VIRTUAL;;;SA_002;;Ley de Transparencia;;;;;
CLS_SA_003_0055;Y;;;;;;;VIRTUAL;;;SA_003;;Yo elijo observar;;;;;
CLS_SA_001_0002;Y;;;;;;;VIRTUAL;;;SA_001;;Liderazgo en tiempo digitales: gestión de equipos remotos - Externo;;;;;
CLS_SA_001_0007;Y;;;;;;;VIRTUAL;;;SA_001;;Del cambio a la transformación;;;;;
CLS_SA_001_0001;Y;;;;;;;VIRTUAL;;;SA_001;;Presentación programa virtual de líderazgo;;;;;
CLS_SA_001_0006;Y;;;;;;;VIRTUAL;;;SA_001;;Transparencia y claridad - Externo;;;;;
CLS_SA_001_0010;Y;;;;;;;VIRTUAL;;;SA_001;;Poder y libertad;;;;;
CLS_SA_001_0011;Y;;;;;;;VIRTUAL;;;SA_001;;Empatia: Preguntar  y  Escuchar más, antes de Hablar;;;;;
CLS_SA_001_0005;Y;;;;;;;VIRTUAL;;;SA_001;;Resiliencia operacional en Tiempos de Crisis;;;;;
CLS_SA_001_0009;Y;;;;;;;VIRTUAL;;;SA_001;;Manejo de la Emociones;;;;;
GRA_SA_002_0030;Y;;;;;;;VIRTUAL;;;SA_002;;Inducción Corporativa Grupo Empresarial ARGOS;;;;;
GRA_SA_002_0059;Y;;;;;;;VIRTUAL;;;SA_002;;"Curso Anual de Conducta ""El Poder de tu Decisión""- Segunda temporada";;;;;
CLS_SA_002_0009;Y;;;;;;;VIRTUAL;;;SA_002;;Reconexión E4;;;;;
CLS_SA_012_0004;Y;;;;;;;PRES;;;SA_012;;B1-Modulo 4 - Manhattan;;;;;
CLS_SA_012_0009;Y;;;;;;;PRES;;;SA_012;;Workshop - Manhattan;;;;;
CLS_SA_012_0002;Y;;;;;;;PRES;;;SA_012;;A2-Modulo 2 - Manhattan;;;;;
CLS_SA_012_0003;Y;;;;;;;PRES;;;SA_012;;B1-Modulo 3 - Manhattan;;;;;
CLS_SA_006_0004;Y;;;;;;;PRES;;;SA_006;;Cadena de Abastecimiento - Externo;;;;;
CLS_SA_002_0006;Y;;;;;;;PRES;;;SA_002;;Nuestra buena energía nos conecta;;;;;
CLS_SA_002_0011;Y;;;;;;;PRES;;;SA_002;;Conozcamos los conceptos básicos de seguridad y salud en el trabajo;;;;;
CLS_SA_012_0001;Y;;;;;;;PRES;;;SA_012;;A2-Mòdulo 1 - Manhattan;;;;;
CLS_SA_001_0029;Y;;;;;;;VIRTUAL;;;SA_001;;Conversaciones de Buena Energía – Etapa 3;;;;;
CLS_SA_002_0020;Y;;;;;;;VIRTUAL;;;SA_002;;Nuestra organización - Celsia;;;;;
CLS_SA_002_0008;Y;;;;;;;VIRTUAL;;;SA_002;;Protección Datos Personales;;;;;
CLS_SA_002_0030;Y;;;;;;;VIRTUAL;;;SA_002;;Conozcamos nuestro programa de sostenibilidad;;;;;
CLS_SA_003_0004;Y;;;;;;;VIRTUAL;;;SA_003;;Izaje;;;;;
CLS_SA_003_0002;Y;;;;;;;VIRTUAL;;;SA_003;;Cinco Reglas de Oro, Guantes y pértigas;;;;;
CLS_SA_003_0003;Y;;;;;;;VIRTUAL;;;SA_003;;Programa de Prevención de caídas Colombia;;;;;
CLS_SA_003_0011;Y;;;;;;;VIRTUAL;;;SA_003;;Espacios Confinados;;;;;
CLS_SA_003_0032;Y;;;;;;;VIRTUAL;;;SA_003;;Salud Mental - Externo;;;;;
CLS_SA_001_0050;Y;;;;;;;VIRTUAL;;;SA_001;;Liderazgo Resiliente;;;;;
CLS_SA_001_0051;Y;;;;;;;VIRTUAL;;;SA_001;;Retos de la productividad para el 2021;;;;;
CLS_SA_002_0047;Y;;;;;;;VIRTUAL;;;SA_002;;Fortaleciendo el Trabajo flexible y adaptativo - Externo;;;;;
CLS_SA_007_0183;Y;;;;;;;VIRTUAL;;;SA_007;;Procedimientos y temas regulatorios ANI - Externo;;;;;
CLS_SA_007_0179;Y;;;;;;;VIRTUAL;;;SA_007;;Sub-Estaciones Digitales - Externo;;;;;
CLS_SA_003_0057;Y;;;;;;;VIRTUAL;;;SA_003;;Selección y uso de los EPP en Proyectos TYD - Externo;;;;;
STRUCTURALIA_1095;Y;;;;;;;VIRTUAL;;;SA_007;;Subestaciones de alta tensión;;;;;
CLS_SA_001_0035;Y;;;;;;;VIRTUAL;;;SA_001;;Liderazgo en la incertidumbre - Externo;;;;;
CEM_SA_003_0048;Y;;;;;;;PRES;;;SA_003;;Izaje y movilización de carga;;;;;
CLS_SA_001_0047;Y;;;;;;;VIRTUAL;;;SA_001;;Taller No 2: Conciencia de otros;;;;;
CLS_SA_001_0048;Y;;;;;;;VIRTUAL;;;SA_001;;Taller No 3: Influir Conciencia del Otro;;;;;
CLS_SA_001_0049;Y;;;;;;;VIRTUAL;;;SA_001;;Taller No 4: Confluir Conciencia del Otro;;;;;
SUM_SA_001_0035;Y;;;;;;;VIRTUAL;;;SA_001;;Inspire trust speaking their own Language - External;;;;;
CLS_SA_003_0063;Y;;;;;;;VIRTUAL;;;SA_003;;Curso Energías Peligrosas;;;;;
CLS_SA_012_0005;Y;;;;;;;PRES;;;SA_012;;B1+-Modulo 5 - Manhattan;;;;;
CLS_SA_012_0006;Y;;;;;;;PRES;;;SA_012;;B1+-Modulo 6 - Manhattan;;;;;
CLS_SA_007_0344;Y;;;;;;;PRES;;;SA_007;;WFM;;;;;
CEM_SA_005_0010;Y;;;;;;;VIRTUAL;;;SA_005;;Excel Avanzado – Parte 2;;;;;
CEM_SA_005_0011;Y;;;;;;;VIRTUAL;;;SA_005;;Excel Avanzado – Parte 3;;;;;
CLS_SA_007_0178;Y;;;;;;;PRES;;;SA_007;;Introducción A la Operación y Administración del Mercado, Transacciones en Bolsa - Xm;;;;;
CLS_SA_001_0025;Y;;;;;;;VIRTUAL;;;SA_001;;Conversaciones de Buena Energía- Etapa 1;;;;;
SUM_SA_012_0037;Y;;;;;;;PRES;;;SA_012;;A1-Módulo 3- Berlitz;;;;;
CLS_SA_007_0253;Y;;;;;;;PRES;;;SA_007;;Programa Análisis de Datos con Power BI (SENA);;;;;
CLS_SA_007_0155;Y;;;;;;;VIRTUAL;;;SA_007;;Taller negociación - Generación - Externo;;;;;
ODI_SA_005_0006;Y;;;;;;;VIRTUAL;;;SA_005;;TEAMS: Comunicación, colaboración y llamadas por Teams. Tips  de comunicación;;;;;
SUM_SA_012_0038;Y;;;;;;;VIRTUAL;;;SA_012;;¿Por qué las empresas exitosas están capacitando en idiomas a sus empleados?;;;;;
CLS_SA_007_0311;Y;;;;;;;PRES;;;SA_007;;Repotencialización de equipos de trabajo;;;;;
SUM_SA_012_0039;Y;;;;;;;PRES;;;SA_012;;A1-Módulo 5- Berlitz;;;;;
CLS_SA_002_0064;Y;;;;;;;PRES;;;SA_002;;Sensibilización del programa de cumplimiento;;;;;
CLS_SA_007_0033;Y;;;;;;;VIRTUAL;;;SA_007;;Reconectadores;;;;;
CLS_SA_007_0160;Y;;;;;;;PRES;;;SA_007;;Nivel Avanzado del Estándar Iec 61850;;;;;
SUM_SA_003_0495;Y;;;;;;;VIRTUAL;;;SA_016;;Incomodémonos y tertuliemos sobre diversidad: hablemos de Inteligencia Cultural - Externo;;;;;
CEM_SA_003_0099;Y;;;;;;;VIRTUAL;;;SA_003;;Bloqueo de energías peligrosas básico;;;;;
CLS_SA_007_0235;Y;;;;;;;VIRTUAL;;;SA_007;;Mantenimiento activos eléctricos;;;;;
CLS_SA_007_0345;Y;;;;;;;PRES;;;SA_007;;Socialización de procesos NOVA;;;;;
CLS_SA_007_0257;Y;;;;;;;PRES;;;SA_007;;Mindset Digital;;;;;
GRA_SA_001_0054;Y;;;;;;;VIRTUAL;;;SA_001;;Ser para servir - Externo;;;;;
CLS_SA_002_0061;Y;;;;;;;VIRTUAL;;;SA_002;;Infraestructura y Servicios Administrativos;;;;;
CLS_SA_003_0025;Y;;;;;;;PRES;;;SA_003;;Sistemas de Gestion Socioambiental Balance 2019 - Tolima;;;;;
SUM_SA_012_0049;Y;;;;;;;VIRTUAL;;;SA_012;;Business meetings - External;;;;;
CLS_SA_003_0026;Y;;;;;;;PRES;;;SA_003;;Gestión de Contratistas;;;;;
CLS_SA_007_0086;Y;;;;;;;VIRTUAL;;;SA_007;;Formacion en Retie - Externo;;;;;
SUM_SA_012_0064;Y;;;;;;;VIRTUAL;;;SA_012;;Professional english - Why is it so important? - External;;;;;
CLS_SA_003_0028;Y;;;;;;;VIRTUAL;;;SA_003;;Vida mentalmente saludable;;;;;
SUM_SA_012_0065;Y;;;;;;;VIRTUAL;;;SA_012;;Tips for running an effective meeting - External;;;;;
SUM_SA_012_0067;Y;;;;;;;VIRTUAL;;;SA_012;;The importance of learning english in Colombia - External;;;;;
SUM_SA_012_0029;Y;;;;;;;VIRTUAL;;;SA_012;;Autonomous Learning - External;;;;;
SUM_SA_015_0062;Y;;;;;;;VIRTUAL;;;SA_015;;TEAMS: Comunicación, colaboración y llamadas por Teams. Tips  de comunicación - Externo;;;;;
CLS_SA_003_0034;Y;;;;;;;PRES;;;SA_003;;Prevencion del cunsumo del alcohol y sustancias psicoactivas;;;;;
CLS_SA_002_0057;Y;;;;;;;VIRTUAL;;;SA_002;;Seguridad Digital Celsia;;;;;
CLS_SA_007_0060;Y;;;;;;;VIRTUAL;;;SA_007;;Aranda Consignaciones - Externo;;;;;
CLS_SA_007_0061;Y;;;;;;;VIRTUAL;;;SA_007;;Aliados - Externo;;;;;
GRA_SA_003_0019;Y;;;;;;;VIRTUAL;;;SA_016;;Taller de género - Externo;;;;;
GRA_SA_003_0016;Y;;;;;;;VIRTUAL;;;SA_016;;Conversatorio Beneficios de una cultura diversa - Externo;;;;;
CLS_SA_007_0063;Y;;;;;;;VIRTUAL;;;SA_007;;Sistema AMI - Externo;;;;;
CLS_SA_007_0064;Y;;;;;;;VIRTUAL;;;SA_007;;Sistema Medición centralizada - Externo;;;;;
CLS_SA_007_0067;Y;;;;;;;VIRTUAL;;;SA_007;;Instalación Ordenes de Servicio Medida Especial - Externo;;;;;
CLS_SA_007_0066;Y;;;;;;;VIRTUAL;;;SA_007;;Supervisión y Operación de la medida - Externo;;;;;
CLS_SA_007_0054;Y;;;;;;;VIRTUAL;;;SA_007;;RCM - Externo;;;;;
CLS_SA_007_0069;Y;;;;;;;VIRTUAL;;;SA_007;;SAP Módulo PS – Externo;;;;;
GRA_SA_003_0054;Y;;;;;;;VIRTUAL;;;SA_016;;Evaluación Taller género;;;;;
